	barC007_103	barC010_102	barC011_101
 Assembly_000000000097_Contig_5_129_r_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000000097_Contig_1_692_r_supercontig 	 conditions are met 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	
 Assembly_000000000213_Contig_1_350_r_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000000303_Contig_10_172_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
 Assembly_000000000251_Contig_1_738_r 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000000303_Contig_1_953_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000000225_Contig_1_1373_r_supercontig 	 conditions are met 	 conditions are met 	 conditions are met 	
 Assembly_000000000303_Contig_3_287_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	 conditions are met 	
 Assembly_000000000303_Contig_11_160_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	 conditions are met 	
 Assembly_000000000303_Contig_2_630_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	
 Assembly_000000000303_Contig_13_189_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 conditions are met 	 conditions are met 	
 Assembly_000000000303_Contig_7_214_supercontig 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	 the_ratio_of_distances_of_potential_homeologs_is_lower_than_between_homeolog_distance=interallelic_SNPs_are_masked 	
